lat,lon
9.5,-99.5
16.5,-99.5
15.5,-99.5
14.5,-99.5
13.5,-99.5
12.5,-99.5
11.5,-99.5
10.5,-99.5
11.62,-99.13
11.62,-99.13
13.18,-99.09
10.62,-98.98
10.73,-98.78
9.14,-98.58
9.13,-98.58
9.5,-98.5
8.5,-98.5
14.5,-98.5
13.5,-98.5
12.5,-98.5
11.5,-98.5
10.5,-98.5
10.22,-98.35
10.97,-98.18
-5.94,-98.06
9.01,-97.99
7.43,-97.96
7.43,-97.95
-5.59,-97.92
11.27,-97.89
9.5,-97.5
8.5,-97.5
7.5,-97.5
13.5,-97.5
12.5,-97.5
11.5,-97.5
10.5,-97.5
8.27,-97.28
8.26,-97.27
-3.47,-97.06
-2.81,-96.65
8.87,-96.56
8.87,-96.56
9.5,-96.5
8.5,-96.5
7.5,-96.5
12.5,-96.5
11.5,-96.5
10.5,-96.5
-2.38,-96.37
8.7,-96.35
-2.87,-96.32
-2.35,-96.31
9.34,-96.23
8.91,-96.16
8.91,-96.16
9.16,-96.11
9.95,-96.0
9.89,-96.0
9.88,-96.0
9.9,-95.99
9.9,-95.98
-3.72,-95.65
9.82,-95.58
9.81,-95.57
9.5,-95.5
8.5,-95.5
12.5,-95.5
11.5,-95.5
10.5,-95.5
10.97,-95.18
-9.7,-95.08
-0.66,-94.86
-0.74,-94.83
-2.89,-94.78
11.38,-94.65
-0.3,-94.52
9.5,-94.5
8.5,-94.5
11.5,-94.5
10.5,-94.5
6.46,-94.4
8.75,-94.29
8.74,-94.28
9.43,-94.05
9.09,-94.05
-2.95,-94.04
8.36,-93.93
8.36,-93.93
8.36,-93.93
9.07,-93.92
-2.96,-93.92
8.28,-93.83
8.28,-93.83
9.5,-93.78
11.77,-93.7
-9.12,-93.67
9.5,-93.5
8.5,-93.5
7.5,-93.5
11.5,-93.5
10.5,-93.5
9.13,-93.09
9.17,-93.03
9.16,-93.02
9.4,-92.94
9.31,-92.93
9.36,-92.9
9.29,-92.88
9.31,-92.87
8.65,-92.86
9.32,-92.84
7.71,-92.78
7.7,-92.77
7.69,-92.77
7.62,-92.72
10.36,-92.68
7.57,-92.67
9.5,-92.5
8.5,-92.5
7.5,-92.5
6.5,-92.5
11.5,-92.5
10.5,-92.5
11.03,-92.4
-2.95,-92.35
-1.3,-92.32
-1.3,-92.31
-1.3,-92.31
-1.3,-92.31
-1.3,-92.31
-1.53,-92.3
